==========================================================================================
Watermark Embedding
Selected? 0
==========================================================================================
PSNR	SSIM	Time	Filename
45.7078	00.9948	02.6347	369.tif
45.6926	00.9975	02.5905	37.tif
45.6347	00.9969	02.4687	370.tif
45.6959	00.9974	02.8392	371.tif
45.6964	00.9944	02.3956	372.tif
45.6941	00.9972	02.1371	373.tif
45.6987	00.9947	02.2265	374.tif
45.6843	00.9967	02.6031	375.tif
45.7062	00.9982	02.7554	376.tif
45.7004	00.9989	02.6655	377.tif
45.7009	00.9990	02.7189	378.tif
45.6834	00.9904	02.7264	379.tif
45.2474	00.9949	02.5667	38.tif
45.7056	00.9970	02.9211	380.tif
45.6983	00.9984	02.2928	381.tif
45.7051	00.9961	03.0271	382.tif
45.7009	00.9961	02.3614	383.tif
45.6655	00.9990	02.4503	384.tif
45.7065	00.9987	02.6855	385.tif
45.6966	00.9967	02.4391	386.tif
45.6536	00.9896	02.7345	387.tif
45.7082	00.9930	02.7914	388.tif
45.7145	00.9958	02.7514	389.tif
45.7045	00.9917	02.5034	39.tif
45.4205	00.9917	02.4861	390.tif
45.7178	00.9970	02.6981	391.tif
45.6985	00.9971	02.4031	392.tif
45.6818	00.9987	02.4113	393.tif
45.6973	00.9961	02.7012	394.tif
45.6863	00.9976	02.4530	395.tif
45.4190	00.9925	02.7568	396.tif
45.3433	00.9924	02.4687	397.tif
