AuSR,Dataset,File,TR,PSNR,SSIM,TCP,Time
1,3,14,20,27.6883,0.9473,0.0743,2.7458
1,3,14,30,25.4856,0.9119,0.1554,3.0639
1,3,14,40,23.4053,0.8622,0.2617,3.465
1,3,14,50,21.6576,0.8012,0.3809,4.2551
1,3,14,60,20.0368,0.725,0.5083,5.5748
1,3,14,70,18.3625,0.6337,0.643,8.7872
1,3,14,80,16.7996,0.5378,0.7697,17.7228
1,3,15,10,35.7092,0.9716,0.019,2.6357
1,3,15,20,33.2201,0.9492,0.0743,2.807
1,3,15,30,31.4668,0.9268,0.1554,3.0862
1,3,15,40,29.155,0.8982,0.2617,3.5352
1,3,15,50,27.1914,0.8652,0.3809,4.2456
1,3,15,60,25.8118,0.834,0.5083,5.5816
1,3,15,70,24.4475,0.7978,0.643,8.7729
1,3,15,80,22.7879,0.7486,0.7697,17.6745
1,3,16,10,36.6707,0.9763,0.019,2.5834
1,3,16,20,33.0086,0.9538,0.0743,2.7769
1,3,16,30,29.6504,0.9202,0.1554,3.0354
1,3,16,40,27.1475,0.8764,0.2617,3.4984
1,3,16,50,25.2508,0.8251,0.3809,4.2301
1,3,16,60,23.4524,0.7652,0.5083,5.5837
1,3,16,70,21.5768,0.6893,0.643,8.7762
1,3,16,80,19.8936,0.605,0.7697,17.6938
1,3,17,10,33.6835,0.9711,0.019,2.5954
1,3,17,20,30.0227,0.9354,0.0743,2.7213
1,3,17,30,27.7907,0.8915,0.1554,3.0019
1,3,17,40,25.8057,0.8339,0.2617,3.4373
1,3,17,50,24.1136,0.7648,0.3808,4.2782
1,3,17,60,22.5966,0.6854,0.5083,5.6315
1,3,17,70,20.9935,0.5868,0.643,8.7708
1,3,17,80,19.3909,0.4798,0.7697,17.565
1,3,18,10,33.0308,0.9769,0.0194,2.642
1,3,18,20,30.202,0.9559,0.074,2.81
1,3,18,30,28.4491,0.9335,0.1545,3.0716
1,3,18,40,26.9866,0.9096,0.2611,3.5043
1,3,18,50,25.7036,0.8814,0.3806,4.1907
1,3,18,60,24.4779,0.8489,0.5085,5.548
1,3,18,70,23.2428,0.812,0.6422,8.5713
1,3,18,80,21.829,0.767,0.7694,17.0791
1,3,19,10,34.745,0.9923,0.0194,2.6747
1,3,19,20,30.7074,0.9762,0.074,2.7294
1,3,19,30,28.5147,0.9508,0.1546,3.0401
1,3,19,40,26.4819,0.9156,0.2611,3.4797
1,3,19,50,24.8978,0.8747,0.3806,4.1919
1,3,19,60,23.194,0.8147,0.5085,5.609
1,3,19,70,21.5215,0.7404,0.6422,8.6323
1,3,19,80,19.7996,0.6506,0.7694,17.0943
1,3,20,10,33.7365,0.9889,0.0194,2.569
1,3,20,20,30.0787,0.9762,0.074,2.769
1,3,20,30,26.8411,0.9522,0.1546,3.0115
1,3,20,40,24.3444,0.9126,0.2611,3.4543
1,3,20,50,22.4744,0.8609,0.3806,4.1659
1,3,20,60,20.9092,0.7959,0.5085,5.5925
1,3,20,70,19.5229,0.7236,0.6422,8.5831
1,3,20,80,18.0877,0.6384,0.7694,17.2545
1,3,21,10,32.1483,0.973,0.0194,2.584
1,3,21,20,28.3161,0.9369,0.074,2.7456
1,3,21,30,25.6508,0.8888,0.1546,3.063
1,3,21,40,23.6891,0.8344,0.2611,3.4693
1,3,21,50,22.3709,0.7871,0.3806,4.1996
1,3,21,60,21.1164,0.7334,0.5085,5.5526
1,3,21,70,19.6679,0.6683,0.6422,8.5378
1,3,21,80,17.7427,0.5785,0.7694,17.1309
